PAN010.chr1.haplotype1:154287980-155576465	PAN027.chr1.maternal:157835539-159123986	PAN028.chr1.haplotype2:157374794-158663256
PAN010.chr1.haplotype1:155702724-156357074	PAN027.chr1.maternal:159250244-159904592	PAN028.chr1.haplotype2:158789516-159443872
PAN010.chr1.haplotype1:156357096-157847082	PAN027.chr1.maternal:159904614-161394594	PAN028.chr1.haplotype2:159443894-160933883
PAN010.chr1.haplotype1:157939051-158725502	PAN027.chr1.maternal:161486563-162273010	PAN028.chr1.haplotype2:161025852-161812297
PAN010.chr1.haplotype1:158728903-159646351	PAN027.chr1.maternal:162276411-163193857	PAN028.chr1.haplotype2:161815698-162733152
PAN010.chr1.haplotype1:159622906-160281620	PAN027.chr1.maternal:163170412-163829125	PAN028.chr1.haplotype2:162709707-163368420
PAN010.chr1.haplotype1:160357371-160704346	PAN027.chr1.maternal:163904876-164251848	PAN028.chr1.haplotype2:163444170-163791144
PAN010.chr1.haplotype1:160677994-161548048	PAN027.chr1.maternal:164225496-165095549	PAN028.chr1.haplotype2:163764792-164634849
PAN010.chr1.haplotype1:161476535-163017116	PAN027.chr1.maternal:165024038-166564613	PAN028.chr1.haplotype2:164563338-166103918
PAN010.chr1.haplotype1:163075506-169101147	PAN027.chr1.maternal:166623003-172648629	PAN028.chr1.haplotype2:166162298-172187956
PAN010.chr1.haplotype1:169073210-170484256	PAN027.chr1.maternal:172620692-174031726	PAN028.chr1.haplotype2:172160018-173571062
PAN010.chr1.haplotype1:170465366-171409839	PAN027.chr1.maternal:174012836-174957302	PAN028.chr1.haplotype2:173552172-174496639
PAN010.chr1.haplotype1:171386179-172967501	PAN027.chr1.maternal:174933642-176514964	PAN028.chr1.haplotype2:174472979-176054308
PAN010.chr1.haplotype1:172945173-175218215	PAN027.chr1.maternal:176492634-178765662	PAN028.chr1.haplotype2:176031979-178305014
PAN010.chr1.haplotype1:175190419-175375906	PAN027.chr1.maternal:178737866-178923354	PAN028.chr1.haplotype2:178277218-178462709
PAN010.chr1.haplotype1:175362477-175879892	PAN027.chr1.maternal:178909925-179427338	PAN028.chr1.haplotype2:178449280-178966696
PAN010.chr1.haplotype1:175905972-177509957	PAN027.chr1.maternal:179453418-181057387	PAN028.chr1.haplotype2:178992776-180596757
PAN010.chr1.haplotype1:177492084-179057482	PAN027.chr1.maternal:181039519-182604903	PAN028.chr1.haplotype2:180578883-182144279
PAN010.chr1.haplotype1:179044312-182102032	PAN027.chr1.maternal:182591735-185649446	PAN028.chr1.haplotype2:182131111-185188838
PAN010.chr1.haplotype1:182079704-183192379	PAN027.chr1.maternal:185627118-186739789	PAN028.chr1.haplotype2:185166510-186279184
PAN010.chr1.haplotype1:185682832-186342833	PAN027.chr1.maternal:189230228-189890227	PAN028.chr1.haplotype1:193255630-193915653
PAN010.chr1.haplotype1:203835472-203874859	PAN027.chr1.maternal:207382741-207422128	PAN028.chr1.haplotype1:211495055-211534432
PAN010.chr1.haplotype1:26610361-27045479	PAN027.chr1.maternal:26616531-27051647	PAN028.chr1.haplotype2:26623143-27058263
PAN010.chr1.haplotype1:27027559-27338995	PAN027.chr1.maternal:27033727-27345156	PAN028.chr1.haplotype2:27040343-27351780
PAN010.chr1.haplotype1:27319215-29613175	PAN027.chr1.maternal:27325376-29619310	PAN028.chr1.haplotype2:27332000-29625960
PAN010.chr1.haplotype1:29595649-30177496	PAN027.chr1.maternal:29601785-30183632	PAN028.chr1.haplotype2:29608433-30190283
PAN010.chr1.haplotype1:30187097-31320136	PAN027.chr1.maternal:30193233-31326268	PAN028.chr1.haplotype2:30199884-31332925
PAN010.chr1.haplotype1:31300774-31537594	PAN027.chr1.maternal:31306906-31543721	PAN028.chr1.haplotype2:31313563-31550383
PAN010.chr1.haplotype1:31574631-31891504	PAN027.chr1.maternal:31580757-31897627	PAN028.chr1.haplotype2:31587419-31904291
PAN010.chr1.haplotype1:31870622-33579322	PAN027.chr1.maternal:31876746-33585428	PAN028.chr1.haplotype2:31883410-33592119
PAN010.chr1.haplotype1:33562789-34306420	PAN027.chr1.maternal:33568895-34312525	PAN028.chr1.haplotype2:33575586-34319219
PAN010.chr1.haplotype1:34281958-36898308	PAN027.chr1.maternal:34288063-36904402	PAN028.chr1.haplotype2:34294757-36911123
PAN010.chr1.haplotype1:36875653-38611362	PAN027.chr1.maternal:36881747-38617434	PAN028.chr1.haplotype2:36888468-38624176
PAN010.chr1.haplotype1:38612267-39232658	PAN027.chr1.maternal:38618339-39238735	PAN028.chr1.haplotype2:38625081-39245482
PAN010.chr1.haplotype2:108927344-110263945	PAN027.chr1.maternal:108317255-109653846	PAN028.chr1.haplotype2:108338073-109674678
PAN010.chr1.haplotype2:110121528-111088479	PAN027.chr1.maternal:109511431-110478375	PAN028.chr1.haplotype2:109532261-110499216
PAN010.chr1.haplotype2:111062701-112360517	PAN027.chr1.maternal:110452597-111750408	PAN028.chr1.haplotype2:110473438-111771256
PAN010.chr1.haplotype2:112338208-112731757	PAN027.chr1.maternal:111728099-112121648	PAN028.chr1.haplotype2:111748947-112142497
PAN010.chr1.haplotype2:112708848-112771274	PAN027.chr1.maternal:112098739-112161165	PAN028.chr1.haplotype2:112119588-112182015
PAN010.chr1.haplotype2:112749094-112992582	PAN027.chr1.maternal:112138985-112382473	PAN028.chr1.haplotype2:112159834-112403316
PAN010.chr1.haplotype2:112973885-113109514	PAN027.chr1.maternal:112363776-112499405	PAN028.chr1.haplotype2:112384618-112520247
PAN010.chr1.haplotype2:113085682-113549299	PAN027.chr1.maternal:112475573-112939187	PAN028.chr1.haplotype2:112496415-112960032
PAN010.chr1.haplotype2:113528531-113696940	PAN027.chr1.maternal:112918419-113086827	PAN028.chr1.haplotype2:112939264-113107674
PAN010.chr1.haplotype2:113696049-114077640	PAN027.chr1.maternal:113085936-113467515	PAN028.chr1.haplotype2:113106783-113488371
PAN010.chr1.haplotype2:114056080-114671922	PAN027.chr1.maternal:113445959-114061797	PAN028.chr1.haplotype2:113466815-114082653
PAN010.chr1.haplotype2:114717026-115260569	PAN027.chr1.maternal:114106901-114650441	PAN028.chr1.haplotype2:114127757-114671304
PAN010.chr1.haplotype2:115219984-116296478	PAN027.chr1.maternal:114609856-115686347	PAN028.chr1.haplotype2:114630719-115707216
PAN010.chr1.haplotype2:116424789-117227700	PAN027.chr1.maternal:115814658-116617564	PAN028.chr1.haplotype2:115835527-116638443
PAN010.chr1.haplotype2:117206903-117744672	PAN027.chr1.maternal:116596767-117134529	PAN028.chr1.haplotype2:116617646-117155412
PAN010.chr1.haplotype2:117722781-117836433	PAN027.chr1.maternal:117112638-117226290	PAN028.chr1.haplotype2:117133520-117247173
PAN010.chr1.haplotype2:117816369-117909931	PAN027.chr1.maternal:117206226-117299787	PAN028.chr1.haplotype2:117227109-117320670
PAN010.chr1.haplotype2:117885468-118403264	PAN027.chr1.maternal:117275324-117793122	PAN028.chr1.haplotype2:117296207-117814002
PAN010.chr1.haplotype2:118382942-118723586	PAN027.chr1.maternal:117772800-118113444	PAN028.chr1.haplotype2:117793680-118134325
PAN010.chr1.haplotype2:118897377-119220967	PAN027.chr1.maternal:118287235-118610823	PAN028.chr1.haplotype2:118308116-118631706
